name,judgeTitle,judgeFullName,email,role,section
Aarons,Judge,Aarons,legacy.judge.aarons@example.com,legacyJudge,legacyJudgesChambers
Armen,Special Trial Judge,Armen,legacy.judge.armen@example.com,legacyJudge,legacyJudgesChambers
Ashford,Judge,Tamara W. Ashford,judge.ashford@example.com,judge,ashfordsChambers
Beghe,Judge,Beghe,legacy.judge.beghe@example.com,legacyJudge,legacyJudgesChambers
Buch,Judge,Ronald L. Buch,judge.buch@example.com,judge,buchsChambers
Buckley,Special Trial Judge,Buckley,legacy.judge.buckley@example.com,legacyJudge,legacyJudgesChambers
Cantrel,Judge,Cantrel,legacy.judge.cantrel@example.com,legacyJudge,legacyJudgesChambers
Carluzzo,Chief Special Trial Judge,Lewis R. Carluzzo,stjudge.carluzzo@example.com,judge,carluzzosChambers
Chabot,Judge,Chabot,legacy.judge.chabot@example.com,legacyJudge,legacyJudgesChambers
Chiechi,Judge,Chiechi,legacy.judge.chiechi@example.com,legacyJudge,legacyJudgesChambers
Choi,Special Trial Judge,Eunkyong Choi,legacy.stjudge.choi@example.com,legacyJudge,legacyJudgesChambers
Clapp,Judge,Clapp,legacy.judge.clapp@example.com,legacyJudge,legacyJudgesChambers
Cohen,Senior Judge,Mary Ann Cohen,judge.cohen@example.com,judge,cohensChambers
Colvin,Senior Judge,John O. Colvin,judge.colvin@example.com,judge,colvinsChambers
Copeland,Judge,Elizabeth A. Copeland,judge.copeland@example.com,judge,copelandsChambers
Couvillion,Special Trial Judge,Couvillion,legacy.judge.couvillion@example.com,legacyJudge,legacyJudgesChambers
Dawson,Judge,Dawson,legacy.judge.dawson@example.com,legacyJudge,legacyJudgesChambers
Dean,Special Trial Judge,Dean,legacy.judge.dean@example.com,legacyJudge,legacyJudgesChambers
Dinan,Special Trial Judge,Dinan,legacy.judge.dinan@example.com,legacyJudge,legacyJudgesChambers
Drennen,Judge,Drennen,legacy.judge.drennen@example.com,legacyJudge,legacyJudgesChambers
Fay,Judge,Fay,legacy.judge.fay@example.com,legacyJudge,legacyJudgesChambers
Featherston,Judge,Featherston,legacy.judge.featherston@example.com,legacyJudge,legacyJudgesChambers
Fried,Special Trial Judge,Zachary S. Fried,stjudge.fried@example.com,judge,friedsChambers
